instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"SHILO, AMIT",3.1,2.7,48,57%,https://www.ratemyprofessors.com/professor/2137401,Classics,"GET READY TO READ, LECTURE HEAVY, PARTICIPATION MATTERS, LOTS OF HOMEWORK, SKIP CLASS? YOU WON'T PASS., TOUGH GRADER, EXTRA CREDIT, AMAZING LECTURES"
"CRAVEIRO, PEDRO",5.0,3.0,48,100%,https://www.ratemyprofessors.com/professor/2238787,Spanish & Portuguese,"CARING, GIVES GOOD FEEDBACK, RESPECTED, PARTICIPATION MATTERS, ACCESSIBLE OUTSIDE CLASS, ONLINE SAVVY, GROUP PROJECTS, HILARIOUS, GRADED BY FEW THINGS, INSPIRATIONAL, AMAZING LECTURES"
"PAZOS, STEPHANIE",1.9,4.0,41,21%,https://www.ratemyprofessors.com/professor/3080855,Chemistry,"TOUGH GRADER, LOTS OF HOMEWORK, SO MANY PAPERS, TEST HEAVY, PARTICIPATION MATTERS, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK, CARING, EXTRA CREDIT"
"SEN, PRADEEP",3.2,4.1,21,46%,https://www.ratemyprofessors.com/professor/1906513,Electrical & Comp. Engineering,"LOTS OF HOMEWORK, TOUGH GRADER, SKIP CLASS? YOU WON'T PASS., AMAZING LECTURES, LECTURE HEAVY, PARTICIPATION MATTERS, TEST HEAVY, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS"
"FRECH, TED",2.8,3.6,19,30%,https://www.ratemyprofessors.com/professor/1181888,Economics,"TEST HEAVY, GRADED BY FEW THINGS, GET READY TO READ, LECTURE HEAVY, TOUGH GRADER, PARTICIPATION MATTERS, INSPIRATIONAL"
"KIRTMAN, BERNIE",2.3,4.3,19,36%,https://www.ratemyprofessors.com/professor/125598,Science,"LOTS OF HOMEWORK, TOUGH GRADER, CARING, LECTURE HEAVY, GET READY TO READ, GRADED BY FEW THINGS"
"MONTELL, DENISE",3.2,3.2,18,38%,https://www.ratemyprofessors.com/professor/1957168,Biology,"SKIP CLASS? YOU WON'T PASS., LECTURE HEAVY, TEST HEAVY, GET READY TO READ, AMAZING LECTURES, INSPIRATIONAL, HILARIOUS, ONLINE SAVVY, RESPECTED, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK"
"GARCIA DAHAN, LETTY",4.8,1.9,16,100%,https://www.ratemyprofessors.com/professor/3015202,Theater,"CARING, EXTRA CREDIT, GET READY TO READ, HILARIOUS, PARTICIPATION MATTERS, AMAZING LECTURES, CLEAR GRADING CRITERIA"
"STREICHAN, SEBASTIAN",4.6,2.8,15,100%,https://www.ratemyprofessors.com/professor/2354923,Physics,"AMAZING LECTURES, ACCESSIBLE OUTSIDE CLASS, CLEAR GRADING CRITERIA, CARING, LECTURE HEAVY, RESPECTED"
"KUHN, PETER",4.1,2.7,14,84%,https://www.ratemyprofessors.com/professor/1523184,Economics,"CLEAR GRADING CRITERIA, CARING, GET READY TO READ, RESPECTED, LECTURE HEAVY, INSPIRATIONAL, AMAZING LECTURES"
