instructor,rmp_rating,rmp_url
LISA PARK,4.4,https://www.ratemyprofessors.com/professor/2174197
DAVID WELD,4.2,https://www.ratemyprofessors.com/professor/1786846
DANNY TSAI,3.1,https://www.ratemyprofessors.com/professor/2533240
GIOVANNI BATZ,5.0,https://www.ratemyprofessors.com/professor/2917206
ANDREW NORRIS,3.3,https://www.ratemyprofessors.com/professor/1112011
YOGANANDA ISUKAPALLI,4.8,https://www.ratemyprofessors.com/professor/2245857
ANDREA YOUNG,2.7,https://www.ratemyprofessors.com/professor/2465042
RONALD RICE,4.5,https://www.ratemyprofessors.com/professor/536944
HEATHER BLURTON,3.6,https://www.ratemyprofessors.com/professor/1537582
REBECA MIRELES-RIOS,4.1,https://www.ratemyprofessors.com/professor/1982597
HORIA METIU,2.8,https://www.ratemyprofessors.com/professor/1295223
MATT RICHARDSON,2.7,https://www.ratemyprofessors.com/professor/2672093
ARMAND KURIS,4.3,https://www.ratemyprofessors.com/professor/346672
ZETIAN YAN,3.0,https://www.ratemyprofessors.com/professor/2934628
